zipcode,Level 1,Level 2,Level 3,Level 4
382120,Abasana,Ahmedabad,Gujarat,India
382220,Adroda,Ahmedabad,Gujarat,India
382460,Adval,Ahmedabad,Gujarat,India
380001,Ahmedabad,Ahmedabad,Gujarat,India
382250,Akru,Ahmedabad,Gujarat,India
363610,Alampur,Ahmedabad,Gujarat,India
382255,Alau,Ahmedabad,Gujarat,India
387810,Ambaliara,Ahmedabad,Gujarat,India
387810,Ambareli,Ahmedabad,Gujarat,India
380006,Ambawadi,Ahmedabad,Gujarat,India
380015,Ambawadi Vistar,Ahmedabad,Gujarat,India
382463,Ambli,Ahmedabad,Gujarat,India
380026,Amraiwadi,Ahmedabad,Gujarat,India
380007,Anandnagar,Ahmedabad,Gujarat,India
382115,Andej,Ahmedabad,Gujarat,India
363610,Aniali ( k ),Ahmedabad,Gujarat,India
382250,Aniali Bhimji,Ahmedabad,Gujarat,India
382230,Arnej,Ahmedabad,Gujarat,India
382150,Asalgam,Ahmedabad,Gujarat,India
380016,Asarwa Chakla,Ahmedabad,Gujarat,India
380024,Asarwa Ext south,Ahmedabad,Gujarat,India
382140,Ashoknagar,Ahmedabad,Gujarat,India
380009,Ashram Road,Ahmedabad,Gujarat,India
382427,Aslali,Ahmedabad,Gujarat,India
380015,Azad Society,Ahmedabad,Gujarat,India
382465,Badanpur,Ahmedabad,Gujarat,India
382276,Badarkha,Ahmedabad,Gujarat,India
382255,Bagad,Ahmedabad,Gujarat,India
382230,Bagodara,Ahmedabad,Gujarat,India
382460,Bajarda,Ahmedabad,Gujarat,India
382170,Bakrana,Ahmedabad,Gujarat,India
382430,Bakrol,Ahmedabad,Gujarat,India
382240,Baldana,Ahmedabad,Gujarat,India
382145,Balsasan,Ahmedabad,Gujarat,India
382145,Bamroli,Ahmedabad,Gujarat,India
382240,Bamsara,Ahmedabad,Gujarat,India
380024,Bapunagar,Ahmedabad,Gujarat,India
382425,Bareja,Ahmedabad,Gujarat,India
382450,Barwala Ghelasha,Ahmedabad,Gujarat,India
382455,Bavaliary,Ahmedabad,Gujarat,India
382220,Bavla,Ahmedabad,Gujarat,India
382220,Bavla Market yard,Ahmedabad,Gujarat,India
380022,Behrampura,Ahmedabad,Gujarat,India
382450,Bela,Ahmedabad,Gujarat,India
380060,Bhadaj,Ahmedabad,Gujarat,India
382140,Bhadana,Ahmedabad,Gujarat,India
382463,Bhadiad,Ahmedabad,Gujarat,India
380028,Bhairavnath Road,Ahmedabad,Gujarat,India
382455,Bhangadh,Ahmedabad,Gujarat,India
382140,Bhankoda,Ahmedabad,Gujarat,India
382210,Bhat,Ahmedabad,Gujarat,India
382433,Bhavda,Ahmedabad,Gujarat,India
382220,Bhayla,Ahmedabad,Gujarat,India
382150,Bhojwa,Ahmedabad,Gujarat,India
382230,Bholad,Ahmedabad,Gujarat,India
382145,Bhoyani,Ahmedabad,Gujarat,India
382230,Bhurkhi,Ahmedabad,Gujarat,India
382430,Bhuvaldi,Ahmedabad,Gujarat,India
382330,Bilasia,Ahmedabad,Gujarat,India
380054,Bodakdev,Ahmedabad,Gujarat,India
363610,Bodia,Ahmedabad,Gujarat,India
382170,Bol,Ahmedabad,Gujarat,India
380058,Bopal,Ahmedabad,Gujarat,India
382150,Bordibazar Viramgam,Ahmedabad,Gujarat,India
380022,Calico Mills,Ahmedabad,Gujarat,India
380004,Cantonment,Ahmedabad,Gujarat,India
382260,Chaloda,Ahmedabad,Gujarat,India
382255,Chandarva,Ahmedabad,Gujarat,India
382433,Chandial,Ahmedabad,Gujarat,India
382260,Chandisar,Ahmedabad,Gujarat,India
382481,Chandlodia,Ahmedabad,Gujarat,India
382150,Chandranagar,Ahmedabad,Gujarat,India
382213,Changodar,Ahmedabad,Gujarat,India
382450,Charanki,Ahmedabad,Gujarat,India
382110,Charel,Ahmedabad,Gujarat,India
382120,Charol,Ahmedabad,Gujarat,India
382433,Chaulaj,Ahmedabad,Gujarat,India
382115,Chekhla,Ahmedabad,Gujarat,India
382220,Chhabasar,Ahmedabad,Gujarat,India
382140,Chhaniar,Ahmedabad,Gujarat,India
382170,Chharodi,Ahmedabad,Gujarat,India
382460,Chhasiana,Ahmedabad,Gujarat,India
382220,Chiada,Ahmedabad,Gujarat,India
382250,Chokdi,Ahmedabad,Gujarat,India
382145,Chuval Dangarva,Ahmedabad,Gujarat,India
380016,Civil Hospital,Ahmedabad,Gujarat,India
380026,Ctm Char rasta,Ahmedabad,Gujarat,India
380019,D Cabin,Ahmedabad,Gujarat,India
382120,Dabhsar,Ahmedabad,Gujarat,India
382120,Dadhana,Ahmedabad,Gujarat,India
382110,Daduka,Ahmedabad,Gujarat,India
387810,Dadusar,Ahmedabad,Gujarat,India
382130,Dalod,Ahmedabad,Gujarat,India
382220,Daran,Ahmedabad,Gujarat,India
380001,Dariapur,Ahmedabad,Gujarat,India
382150,Daslana,Ahmedabad,Gujarat,India
380008,Daxini Society,Ahmedabad,Gujarat,India
382220,Dehgamda,Ahmedabad,Gujarat,India
382120,Dekawada,Ahmedabad,Gujarat,India
380004,Delhi Gate,Ahmedabad,Gujarat,India
382240,Deo Dholera,Ahmedabad,Gujarat,India
382120,Detroj,Ahmedabad,Gujarat,India
363610,Devaliya,Ahmedabad,Gujarat,India
382140,Devpura,Ahmedabad,Gujarat,India
382213,Devtimoti,Ahmedabad,Gujarat,India
382150,Dhakdi,Ahmedabad,Gujarat,India
382435,Dhamatvan,Ahmedabad,Gujarat,India
382465,Dhanala,Ahmedabad,Gujarat,India
382460,Dhandhuka,Ahmedabad,Gujarat,India
382220,Dhanwada,Ahmedabad,Gujarat,India
363610,Dharpipla,Ahmedabad,Gujarat,India
382130,Dhedasana,Ahmedabad,Gujarat,India
382230,Dhingada,Ahmedabad,Gujarat,India
382455,Dholera,Ahmedabad,Gujarat,India
382240,Dholi,Ahmedabad,Gujarat,India
387810,Dholka,Ahmedabad,Gujarat,India
382470,Digvijaynagar,Ahmedabad,Gujarat,India
380001,District Court,Ahmedabad,Gujarat,India
382170,Dodar,Ahmedabad,Gujarat,India
380004,Dudheshwar Tavdipura,Ahmedabad,Gujarat,India
382150,Dumana,Ahmedabad,Gujarat,India
382230,Durgi,Ahmedabad,Gujarat,India
380006,Ellisbridge,Ahmedabad,Gujarat,India
382130,Endla,Ahmedabad,Gujarat,India
382110,Fangadi,Ahmedabad,Gujarat,India
382465,Fatepur,Ahmedabad,Gujarat,India
382210,Fatewadi,Ahmedabad,Gujarat,India
382465,Fedra,Ahmedabad,Gujarat,India
363610,Galsana,Ahmedabad,Gujarat,India
382120,Gamanpura,Ahmedabad,Gujarat,India
382435,Gamdi,Ahmedabad,Gujarat,India
382465,Gamph,Ahmedabad,Gujarat,India
380027,Gandhi Ashram,Ahmedabad,Gujarat,India
380001,Gandhi Road,Ahmedabad,Gujarat,India
382240,Gangad,Ahmedabad,Gujarat,India
382265,Ganol,Ahmedabad,Gujarat,India
382115,Garodia,Ahmedabad,Gujarat,India
382449,Gatrad,Ahmedabad,Gujarat,India
382435,Geratpur,Ahmedabad,Gujarat,India
382140,Ghatisana,Ahmedabad,Gujarat,India
380061,Ghatlodia,Ahmedabad,Gujarat,India
380001,Gheekanta Road,Ahmedabad,Gujarat,India
382150,Ghoda,Ahmedabad,Gujarat,India
380050,Ghodasar,Ahmedabad,Gujarat,India
380058,Ghuma,Ahmedabad,Gujarat,India
380004,Girdharnagar,Ahmedabad,Gujarat,India
382425,Girmatha,Ahmedabad,Gujarat,India
380022,Gita Mandir road,Ahmedabad,Gujarat,India
382255,Godhavata,Ahmedabad,Gujarat,India
382115,Godhavi,Ahmedabad,Gujarat,India
382463,Gogla,Ahmedabad,Gujarat,India
380021,Gomtipur,Ahmedabad,Gujarat,India
382150,Goraiya,Ahmedabad,Gujarat,India
382110,Goraj,Ahmedabad,Gujarat,India
382463,Gorasu,Ahmedabad,Gujarat,India
382481,Gota,Ahmedabad,Gujarat,India
380060,Gujarat High court,Ahmedabad,Gujarat,India
